study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB42781	SAMEA7892298	ERX5015277	ERR5211242	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/002/ERR5211242/ERR5211242.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211242/S13695.E1.L1.1240k+.hg19.v1.bam	
PRJEB42781	SAMEA7892143	ERX5015278	ERR5211243	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/003/ERR5211243/ERR5211243.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211243/I13698_v39.hg19.bam	
PRJEB42781	SAMEA7892207	ERX5015280	ERR5211245	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/005/ERR5211245/ERR5211245.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211245/S13721.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892205	ERX5015281	ERR5211246	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/006/ERR5211246/ERR5211246.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211246/S13766.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892206	ERX5015282	ERR5211247	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/007/ERR5211247/ERR5211247.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211247/S13767.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892211	ERX5015283	ERR5211248	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/008/ERR5211248/ERR5211248.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211248/I13768_green.hg19.bam	
PRJEB42781	SAMEA7892202	ERX5015284	ERR5211249	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/009/ERR5211249/ERR5211249.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211249/S13882.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892222	ERX5015285	ERR5211250	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/000/ERR5211250/ERR5211250.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211250/S13883.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892185	ERX5015286	ERR5211251	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/001/ERR5211251/ERR5211251.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211251/S13884.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892204	ERX5015287	ERR5211252	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/002/ERR5211252/ERR5211252.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211252/S13885.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892187	ERX5015288	ERR5211253	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/003/ERR5211253/ERR5211253.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211253/S13886.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892186	ERX5015289	ERR5211254	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/004/ERR5211254/ERR5211254.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211254/S13887.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892181	ERX5015290	ERR5211255	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/005/ERR5211255/ERR5211255.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211255/S13957.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892195	ERX5015291	ERR5211256	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/006/ERR5211256/ERR5211256.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211256/S13959.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892304	ERX5015292	ERR5211257	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/007/ERR5211257/ERR5211257.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211257/S13961.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892227	ERX5015293	ERR5211258	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/008/ERR5211258/ERR5211258.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211258/S13963.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892193	ERX5015294	ERR5211259	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/009/ERR5211259/ERR5211259.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211259/S13964.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892236	ERX5015295	ERR5211260	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/000/ERR5211260/ERR5211260.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211260/S13965.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892145	ERX5015296	ERR5211261	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/001/ERR5211261/ERR5211261.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211261/S14000.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892198	ERX5015297	ERR5211262	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/002/ERR5211262/ERR5211262.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211262/S14037.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892226	ERX5015298	ERR5211263	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/003/ERR5211263/ERR5211263.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211263/S14194.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892155	ERX5015299	ERR5211264	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/004/ERR5211264/ERR5211264.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211264/S14307.Y1.E1.L1.1240k_plus.hg19.v2.bam	
PRJEB42781	SAMEA7892156	ERX5015300	ERR5211265	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/005/ERR5211265/ERR5211265.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211265/S14308.Y1.E1.L1.1240k_plus.hg19.v2.bam	
PRJEB42781	SAMEA7892161	ERX5015301	ERR5211266	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/006/ERR5211266/ERR5211266.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211266/S14771.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892162	ERX5015302	ERR5211267	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/007/ERR5211267/ERR5211267.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211267/S14772.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892160	ERX5015303	ERR5211268	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/008/ERR5211268/ERR5211268.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211268/S14773.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892163	ERX5015304	ERR5211269	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/009/ERR5211269/ERR5211269.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211269/S14774.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892164	ERX5015305	ERR5211270	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/000/ERR5211270/ERR5211270.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211270/S14819.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892280	ERX5015306	ERR5211271	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/001/ERR5211271/ERR5211271.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211271/S14925.Y1.E1.L1.1240k+.hg19.v1.bam	
PRJEB42781	SAMEA7892288	ERX5015307	ERR5211272	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/002/ERR5211272/ERR5211272.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211272/S14926.Y1.E1.L1.1240k+.hg19.v1.bam	
PRJEB42781	SAMEA7892286	ERX5015308	ERR5211273	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/003/ERR5211273/ERR5211273.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211273/S14927.Y1.E1.L1.1240k+.hg19.v1.bam	
PRJEB42781	SAMEA7892287	ERX5015309	ERR5211274	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/004/ERR5211274/ERR5211274.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211274/S14928.Y1.E1.L1.1240k+.hg19.v1.bam	
PRJEB42781	SAMEA7892274	ERX5015310	ERR5211275	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/005/ERR5211275/ERR5211275.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211275/S14929.Y1.E1.L1.1240k+.hg19.v1.bam	
PRJEB42781	SAMEA7892289	ERX5015311	ERR5211276	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/006/ERR5211276/ERR5211276.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211276/S14930.Y1.E1.L1.1240k+.hg19.v1.bam	
PRJEB42781	SAMEA7892275	ERX5015312	ERR5211277	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/007/ERR5211277/ERR5211277.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211277/S14931.Y1.E1.L1.1240k+.hg19.v1.bam	
PRJEB42781	SAMEA7892277	ERX5015313	ERR5211278	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/008/ERR5211278/ERR5211278.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211278/S14933.Y1.E1.L1.1240k+.hg19.v1.bam	
PRJEB42781	SAMEA7892278	ERX5015314	ERR5211279	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/009/ERR5211279/ERR5211279.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211279/S14934.Y1.E1.L1.1240k+.hg19.v1.bam	
PRJEB42781	SAMEA7892267	ERX5015315	ERR5211280	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/000/ERR5211280/ERR5211280.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211280/S14937.Y1.E1.L1.1240k+.hg19.v1.bam	
PRJEB42781	SAMEA7892283	ERX5015316	ERR5211281	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/001/ERR5211281/ERR5211281.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211281/S15156.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892272	ERX5015317	ERR5211282	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/002/ERR5211282/ERR5211282.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211282/S15158.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892266	ERX5015318	ERR5211283	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/003/ERR5211283/ERR5211283.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211283/S15159.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892290	ERX5015319	ERR5211284	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/004/ERR5211284/ERR5211284.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211284/S15160.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892291	ERX5015320	ERR5211285	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/005/ERR5211285/ERR5211285.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211285/S15162.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892292	ERX5015321	ERR5211286	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/006/ERR5211286/ERR5211286.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211286/S15164.Y1.E1.L1.1240k_plus.hg19.v1.bam	
