Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences
I6353_aln.sort	0.005954054	0.0	14208005.0	100.0	0.0	19.138492701825484	14208005.0
I6356_aln.sort	0.005579818	0.0	12574592.0	100.0	0.0	18.240345293111698	12574592.0
I6357_aln.sort	0.005684212	0.0	6764635.0	100.0	0.0	31.794782719245013	6764635.0
I6358_aln.sort	0.006294708	0.0	13393578.0	100.0	0.0	22.76844917765813	13393578.0
I6359_aln.sort	0.005279729	0.0	16283008.0	100.0	0.0	15.15420246676781	16283008.0
I6361_aln.sort	0.005674995	0.0	15627913.0	100.0	0.0	17.920601426434867	15627913.0
I6362_aln.sort	0.00603239	0.0	13756364.0	100.0	0.0	24.187801369606095	13756364.0
I6363_aln.sort	0.005738613	0.0	26561870.0	100.0	0.0	29.178231803709604	26561870.0
I6364_aln.sort	0.006065541	0.0	14702455.0	100.0	0.0	24.046126990356374	14702455.0
I6365_aln.sort	0.005738138	0.0	18380545.0	100.0	0.0	30.9295616642488	18380545.0
I6367_aln.sort	0.004918239	0.0	27169206.0	100.0	0.0	13.020925234252337	27169206.0
I6369_aln.sort	0.005942523	0.0	21915761.0	100.0	0.0	25.16002980685909	21915761.0
I7021_aln.sort	0.005635772	0.0	15649954.0	100.0	0.0	15.734870530609864	15649954.0
I7022_aln.sort	0.005312239	0.0	20105956.0	100.0	0.0	17.59235422578265	20105956.0
I7023_aln.sort	0.00635463	0.0	11921467.0	100.0	0.0	29.208108364515876	11921467.0
I7024_aln.sort	0.005401301	0.0	16733371.0	100.0	0.0	16.852312663120898	16733371.0
I7027_aln.sort	0.005154658	0.0	23471133.0	100.0	0.0	20.17578358914331	23471133.0
I7029_aln.sort	0.00548159	0.0	8999272.0	100.0	0.0	31.106149475201995	8999272.0
I7030_aln.sort	0.005934306	0.0	14234075.0	100.0	0.0	17.26032074441086	14234075.0
I7032_aln.sort	0.005614164	0.0	17181101.0	100.0	0.0	18.086896759410237	17181101.0
I7033_aln.sort	0.005551044	0.0	17790296.0	100.0	0.0	17.24107906917344	17790296.0
I7039_aln.sort	0.005962295	0.0	22755845.0	100.0	0.0	22.309556072297028	22755845.0
S11696.Y1.E2.L1.1240k_plus.hg19.v1	0.006964576	0.0	22292670.0	100.0	0.0	18.13680460886919	22292670.0
S11697.Y1.E2.L1.1240k_plus.hg19.v1	0.007218905	0.0	21230360.0	100.0	0.0	19.42886507812397	21230360.0
S12955.Y1.E1.L1.1240k_plus.hg19.v1	0.006489703	0.0	19317149.0	100.0	0.0	16.224143635274544	19317149.0
S12957.Y1.E1.L1.1240k_plus.hg19.v1	0.006995481	0.0	19115183.0	100.0	0.0	20.505369998288796	19115183.0
S12960.Y1.E1.L1.1240k_plus.hg19.v1	0.007254091	0.0	17184731.0	100.0	0.0	27.32973242351015	17184731.0
S12969.Y1.E1.L1.1240k_plus.hg19.v1	0.007051329	0.0	17695734.0	100.0	0.0	19.661784020939734	17695734.0
S12970.Y1.E1.L1.1240k_plus.hg19.v1	0.006340192	0.0	18073867.0	100.0	0.0	16.49319428985507	18073867.0
S12971.Y1.E1.L1.1240k_plus.hg19.v1	0.006569292	0.0	18485821.0	100.0	0.0	16.485434972025317	18485821.0
S12973.Y1.E1.L1.1240k_plus.hg19.v1	0.0067938	0.0	17060829.0	100.0	0.0	17.775906434558365	17060829.0
S12974.Y1.E1.L1.1240k_plus.hg19.v1	0.006409208	0.0	18836303.0	100.0	0.0	15.373611265437809	18836303.0
S12975.Y1.E1.L1.1240k_plus.hg19.v1	0.006793372	0.0	19177736.0	100.0	0.0	17.845219060268636	19177736.0
S12976.Y1.E1.L1.1240k_plus.hg19.v1	0.006669627	0.0	19061552.0	100.0	0.0	17.32287066656482	19061552.0
S12977.Y1.E1.L1.1240k_plus.hg19.v1	0.006364455	0.0	18699872.0	100.0	0.0	16.053847855215267	18699872.0
S12978.Y1.E1.L1.1240k_plus.hg19.v1	0.007638782	0.0	18690406.0	100.0	0.0	24.249409028353906	18690406.0
S13173.Y1.E1.L1.1240k_plus.hg19.v1	0.007040131	0.0	20537310.0	100.0	0.0	18.52422736960196	20537310.0
S13175.Y1.E1.L1.1240k_plus.hg19.v1	0.006625845	0.0	21211433.0	100.0	0.0	15.996302560039203	21211433.0
S13179.Y1.E1.L1.1240k_plus.hg19.v1	0.006466811	0.0	15715603.0	100.0	0.0	16.681332558477074	15715603.0
S13180.Y1.E1.L1.1240k_plus.hg19.v1	0.007055752	0.0	20689258.0	100.0	0.0	18.727583173838326	20689258.0
S13504.Y1.E1.L1.1240k_plus.hg19.v1	0.006380612	0.0	11306637.0	100.0	0.0	14.574678571532809	11306637.0
S13505.Y1.E1.L1.1240k_plus.hg19.v1	0.006690304	0.0	16755602.0	100.0	0.0	17.23097146852736	16755602.0
S13766.Y1.E1.L1.1240k_plus.hg19.v1	0.006939895	0.0	17772900.0	100.0	0.0	20.683540671471732	17772900.0
S13767.Y1.E1.L1.1240k_plus.hg19.v1	0.006842437	0.0	17702145.0	100.0	0.0	19.286176901160847	17702145.0
S13957.Y1.E2.L1.1240k_plus.hg19.v1	0.005655316	0.0	13966816.0	100.0	0.0	18.065670801419593	13966816.0
S13963.Y1.E2.L1.1240k_plus.hg19.v1	0.006385342	0.0	13050146.0	100.0	0.0	22.868870585815667	13050146.0
S13964.Y1.E2.L1.1240k_plus.hg19.v1	0.006124868	0.0	10505847.0	100.0	0.0	29.34389773618443	10505847.0
S13965.Y1.E2.L1.1240k_plus.hg19.v1	0.006648632	0.0	14708760.0	100.0	0.0	23.07641160777659	14708760.0
S14000.Y1.E1.L1.1240k_plus.hg19.v1	0.006967046	0.0	20034798.0	100.0	0.0	20.072151463668362	20034798.0
S14037.Y1.E1.L1.1240k_plus.hg19.v1	0.007124512	0.0	23526779.0	100.0	0.0	20.19687012829083	23526779.0
S14194.Y1.E1.L1.1240k_plus.hg19.v1	0.006536723	0.0	15824786.0	100.0	0.0	18.84587254450076	15824786.0
